pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
AIAR,AIYR,0,0,0,0,0,0,0,0,1,1,0
AIAR,AIZR,0,0,0,2,0,2,0,0,1,1,0
AIAR,ASEL,0,0,0,0,0,0,0,0,2,1,3
AIAR,ASER,0,0,0,1,1,0,0,0,0,1,3
AIAR,ASGR,0,0,0,0,0,1,1,2,0,0,0
AIAR,ASHL,0,0,0,0,0,0,0,0,0,0,2
AIAR,ASHR,1,1,1,1,0,0,1,0,3,0,2
AIAR,ASIL,0,0,0,0,0,0,0,1,0,0,0
AIAR,ASIR,0,0,0,0,1,0,0,0,0,0,1
AIAR,ASKR,2,1,3,2,1,2,3,1,0,0,2
AIAR,AVAR,0,0,0,0,0,0,0,0,0,0,1
AIAR,AVJL,0,0,0,0,0,0,0,0,1,0,0
AIAR,AWAR,0,0,0,0,0,0,0,0,0,0,1
AIAR,AWCL,0,0,2,0,1,0,6,1,5,5,0
AIAR,AWCR,0,0,0,1,6,5,0,12,0,3,0
AIAR,HSNL,0,0,0,0,0,0,2,0,0,0,0
AIAR,PVQR,0,0,0,0,0,0,0,1,0,0,0
AIAR,RIFL,0,0,0,0,0,0,2,0,0,0,0
AIAR,RIFR,1,2,2,1,1,1,1,2,2,1,0
AIAR,RIMR,0,0,0,0,0,0,0,0,0,1,0
AIAR,RIPR,0,0,0,0,0,0,0,0,0,0,1
AIAR,RIR,0,0,0,0,0,0,0,0,2,0,0
AIAR,SMBVR,0,0,0,0,0,0,0,0,1,0,0
AIBL,ADAR,0,0,0,0,0,0,1,0,0,0,2
AIBL,ADLL,0,0,0,0,0,0,0,1,0,0,0
AIBL,AIAL,0,0,0,0,0,0,0,1,0,0,0
AIBL,AIBR,0,0,0,0,0,0,0,2,0,0,0
AIBL,AIYL,0,0,0,0,0,0,0,1,0,0,0
AIBL,AIZR,0,0,0,0,0,0,0,0,1,2,5
AIBL,AUAL,0,0,0,0,0,0,0,1,0,0,0
AIBL,AUAR,0,0,0,0,0,0,1,1,0,0,1
AIBL,AVAL,0,0,0,1,0,0,6,1,0,2,1
AIBL,AVAR,0,0,0,0,0,0,1,1,1,0,0
AIBL,AVBL,4,2,3,3,6,8,9,7,4,5,4
AIBL,AVDL,0,0,0,0,0,0,0,0,1,0,0
AIBL,AVEL,1,0,0,0,0,0,1,0,0,0,1
AIBL,AVER,1,1,0,0,1,0,0,0,1,1,1
