pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,classification
RMDL/R,BWM02V,2,2,4,3,4,2,4,7,5,5,5,maintained
RMDL/R,BWM04D,1,3,3,1,2,7,7,12,5,5,9,maintained
RMDL/R,BWM04V,0,1,3,1,5,7,12,14,8,5,4,maintained
RMDL/R,BWM06D,0,1,0,2,0,1,5,3,1,1,2,maintained
RMDL/R,IL1L/R,4,5,4,5,3,5,4,4,3,4,1,maintained
RMDL/R,RIA,7,9,12,19,26,25,36,44,28,27,21,maintained
RMDL/R,RMDD,2,4,5,5,3,6,4,6,7,7,6,maintained
RMDL/R,RMDL/R,4,7,12,14,16,15,12,19,13,11,12,maintained
RMDL/R,RMDV,4,2,1,5,4,3,4,3,3,6,6,maintained
RMDL/R,RMEL/R,0,0,0,0,1,1,2,4,8,3,5,maintained
RMDL/R,RMF,0,0,0,0,0,0,0,5,2,3,4,maintained
RMDL/R,RMH,0,0,0,0,2,2,4,4,1,1,7,maintained
RMDV,BWM01V,2,4,5,5,11,13,15,12,14,13,12,maintained
RMDV,BWM02V,5,8,7,7,13,11,13,10,12,12,5,maintained
RMDV,BWM03V,1,3,5,3,12,16,31,21,12,11,9,maintained
RMDV,BWM04V,3,5,3,2,17,9,17,19,6,12,6,maintained
RMDV,BWM05V,0,0,1,0,2,10,16,19,3,4,4,maintained
RMDV,BWM06V,0,0,0,0,1,1,4,6,0,0,0,dauer_decreased
RMDV,BWM07V,0,0,0,0,0,1,6,6,1,1,0,maintained
RMDV,RMDD,7,11,11,11,20,20,30,21,19,24,13,maintained
RMDV,RMDV,0,0,0,0,3,4,1,4,2,2,4,maintained
RMDV,RMED,0,0,0,0,0,2,6,4,0,1,4,maintained
RMDV,SMBV,0,0,0,0,1,0,4,3,4,0,0,maintained
RMDV,URAV,0,0,0,0,0,0,0,0,1,1,5,dauer_increased
RMED,BWM01V,7,10,6,10,14,16,19,22,16,15,21,maintained
RMED,BWM03V,2,2,1,7,4,15,15,14,7,17,10,maintained
RMED,BWM05V,0,0,0,0,0,2,4,5,0,1,2,maintained
RMED,RMDV,8,8,8,4,4,5,1,1,3,4,7,maintained
RMED,SMDD,2,2,3,4,4,5,4,3,7,8,2,maintained
RMED,URAV,0,0,0,0,0,0,0,0,3,1,2,dauer_increased
RMEL/R,BWM02D,4,4,12,14,23,22,27,22,19,22,11,maintained
RMEL/R,BWM02V,6,9,12,11,19,21,23,31,22,21,15,maintained
RMEL/R,BWM04D,0,0,0,0,0,3,26,7,2,2,0,maintained
RMEL/R,BWM04V,0,0,0,0,2,3,20,9,2,2,3,maintained
RMEL/R,IL1L/R,0,0,1,0,2,0,1,1,0,0,0,dauer_decreased
RMEV,BWM01D,5,7,9,12,11,11,13,16,13,15,15,maintained
RMEV,BWM03D,0,3,5,6,8,9,11,16,8,14,14,maintained
RMEV,RMDD,5,4,3,3,7,1,0,1,7,8,7,maintained
RMEV,RMEV,0,0,0,0,0,0,0,0,1,2,1,dauer_increased
RMEV,SMDD,0,0,0,0,1,0,0,0,1,2,2,dauer_increased
RMEV,SMDV,1,2,3,3,1,4,0,3,5,6,4,maintained
RMEV,URAD,0,0,0,0,0,0,0,0,1,1,3,dauer_increased
RMF,AVK,0,0,0,0,0,16,19,30,10,6,18,maintained
RMF,BWM02D,0,0,0,0,0,0,6,18,9,11,1,maintained
RMF,BWM02V,0,0,0,0,0,0,2,11,12,6,7,maintained
RMF,BWM04D,0,0,0,0,0,0,2,9,5,5,2,maintained
RMF,PVT,0,0,0,0,0,1,2,1,0,0,1,maintained
RMF,RMDL/R,0,0,0,0,0,11,16,24,24,27,26,maintained
RMF,RMG,0,0,0,0,0,0,1,1,5,7,5,dauer_increased
RMF,RMH,0,0,0,0,0,0,5,11,12,13,13,dauer_increased
RMG,ASH,0,0,0,0,1,3,2,1,0,0,0,dauer_decreased
RMG,AVB,0,0,0,0,3,5,5,3,4,1,2,maintained
RMG,AVE,0,0,0,1,0,2,3,4,2,1,5,maintained
RMG,BWM04D,0,0,0,1,0,0,2,3,4,3,1,maintained
RMG,BWM04V,0,0,0,1,2,4,8,1,5,0,3,maintained
RMG,BWM06D,0,0,1,1,2,4,13,7,7,7,2,maintained
RMG,BWM06V,0,0,1,2,3,8,9,6,9,6,2,maintained
RMG,BWM08D,0,0,0,0,1,4,8,4,3,2,1,maintained
RMG,BWM08V,0,0,0,0,2,6,6,5,5,1,1,maintained
RMG,RMDL/R,5,12,8,12,17,12,16,18,7,6,6,dauer_decreased
RMG,RMDV,4,3,5,2,4,6,9,5,6,4,2,maintained
RMG,RMF,0,0,0,0,0,0,0,0,3,2,3,dauer_increased
RMG,RMH,0,0,0,2,2,1,4,1,1,2,0,maintained
RMG,SAAD,0,0,0,0,3,0,0,2,3,6,3,maintained
RMG,SIBD,0,0,0,1,2,0,4,5,0,3,5,maintained
RMG,SIBV,0,1,0,3,1,2,0,3,7,2,4,maintained
RMG,SMBV,0,0,0,0,1,2,1,2,1,1,1,maintained
RMH,BWM02D,0,0,0,0,8,7,5,10,23,17,6,maintained
RMH,BWM02V,0,0,0,0,6,7,7,7,24,13,5,maintained
RMH,BWM04D,0,0,0,0,4,2,5,4,2,5,4,maintained
RMH,BWM04V,0,0,0,0,6,6,8,4,3,4,2,maintained
RMH,CEPD,0,0,0,1,0,1,3,0,1,1,1,maintained
RMH,IL1L/R,0,0,0,0,0,0,1,0,6,3,2,dauer_increased
RMH,RIC,0,0,0,0,0,0,0,0,11,2,3,dauer_increased
RMH,RMDD,0,0,0,0,1,0,0,0,3,5,1,maintained
RMH,RMDL/R,0,0,0,1,5,10,13,12,22,13,16,maintained
RMH,RMDV,0,0,0,0,0,0,0,0,5,4,1,dauer_increased
RMH,RMF,0,0,0,0,0,0,4,10,13,10,4,maintained
RMH,RMG,0,0,0,0,1,2,2,1,1,0,1,maintained
SAAD,AVA,5,3,4,8,11,9,32,21,12,11,13,maintained
SAAD,OLL,1,0,0,0,0,1,2,4,1,1,2,maintained
SAAD,RIM,9,7,11,16,16,14,34,31,13,14,21,maintained
SAAD,RMF,0,0,0,0,0,2,2,5,1,0,0,maintained
SAAD,RMG,0,0,0,0,0,1,0,1,2,4,2,dauer_increased
SAAD,SMDV,0,2,6,5,3,5,5,8,5,2,8,maintained
SAAV,AVA,4,9,6,9,24,20,45,40,27,20,20,maintained
SAAV,RIA,0,0,0,0,1,0,0,0,1,1,1,maintained
SAAV,RIM,5,11,9,13,26,16,42,40,26,16,19,maintained
SAAV,RMF,0,0,0,0,0,3,2,2,3,3,4,maintained
SAAV,SMDD,1,4,2,6,4,13,15,13,10,9,7,maintained
SDQ,AIB,0,0,0,0,0,1,1,4,4,6,4,maintained
SDQ,AVA,0,0,0,0,0,3,4,6,4,2,5,maintained
SDQ,AVB,0,0,0,1,2,6,13,11,12,14,7,maintained
SDQ,AVK,0,0,0,0,0,0,0,0,3,1,1,dauer_increased
SDQ,DVA,0,0,0,1,0,5,3,7,1,3,1,maintained
SDQ,RIC,0,0,0,1,1,3,3,1,5,3,3,maintained
SDQ,SDQ,0,0,0,0,0,1,3,1,2,3,1,maintained
SDQ,SIBV,0,0,0,0,2,3,1,1,2,5,3,maintained
SMBD,ADA,0,0,1,0,3,1,1,4,0,0,1,maintained
SMBD,ALN,0,0,0,2,0,1,4,5,0,0,0,maintained
SMBD,BWM01D,3,6,3,4,6,6,2,7,4,4,3,maintained
SMBD,BWM02D,1,2,2,2,3,3,2,4,2,3,3,maintained
SMBD,BWM03D,3,3,5,4,9,9,10,8,9,7,4,maintained
SMBD,BWM04D,1,3,3,3,4,3,6,6,3,3,6,maintained
SMBD,BWM05D,1,3,3,3,3,5,10,10,12,11,4,maintained
SMBD,BWM07D,0,0,0,0,0,2,4,3,7,6,5,dauer_increased
SMBD,RMDD,1,0,0,1,1,0,1,2,3,1,3,maintained
SMBD,RMED,4,5,5,3,3,9,9,9,15,15,4,maintained
SMBD,SAAV,3,4,4,9,9,10,12,19,3,6,11,maintained
SMBV,BWM01V,3,3,3,5,5,5,5,7,3,3,8,maintained
SMBV,BWM02V,2,2,3,2,4,6,4,4,2,1,0,dauer_decreased
SMBV,BWM03V,3,4,6,5,7,7,8,11,6,8,6,maintained
SMBV,BWM04V,4,2,3,2,4,7,6,7,4,3,1,maintained
SMBV,BWM05V,0,0,2,2,2,5,14,11,10,9,8,maintained
SMBV,BWM06V,0,0,0,0,1,1,4,2,2,3,0,maintained
SMBV,BWM07V,0,0,1,1,1,4,7,6,2,8,3,maintained
SMBV,BWM08V,0,0,0,0,0,1,2,1,0,0,0,dauer_decreased
SMBV,PLN,0,0,0,0,0,0,3,5,3,9,3,maintained
SMBV,RMDV,2,4,2,1,0,1,2,3,1,3,3,maintained
SMBV,RMEV,3,4,5,3,3,9,10,9,12,12,0,maintained
SMBV,SAAD,6,6,5,11,16,11,14,12,10,11,9,maintained
SMDD,BWM01D,3,2,2,3,4,2,3,2,4,3,5,maintained
SMDD,BWM01V,0,0,0,0,0,0,0,0,3,3,2,dauer_increased
SMDD,BWM03D,3,3,4,3,6,2,5,5,7,3,9,maintained
SMDD,BWM03V,0,0,0,0,0,0,0,0,2,2,1,dauer_increased
SMDD,BWM05D,0,0,2,0,4,3,4,9,2,0,1,dauer_decreased
SMDD,BWM06D,0,0,0,0,2,0,1,2,0,2,0,maintained
SMDD,CEPD,2,0,1,0,3,0,2,1,0,2,4,maintained
SMDD,RIA,10,9,12,15,15,21,21,28,15,23,24,maintained
SMDD,RIM,0,0,0,0,2,2,3,2,0,1,3,maintained
SMDD,RMDL/R,1,0,1,1,1,3,3,5,0,3,3,maintained
SMDD,RMED,0,0,1,0,0,0,0,0,3,2,2,dauer_increased
SMDD,SMDV,3,7,6,5,5,6,13,14,7,9,16,maintained
SMDV,BWM01D,0,0,0,0,0,0,0,0,1,2,3,dauer_increased
SMDV,BWM01V,2,4,2,3,3,3,3,2,3,4,4,maintained
SMDV,BWM03V,2,3,2,3,3,3,5,5,2,4,3,maintained
SMDV,BWM05V,0,0,0,0,1,1,3,3,0,1,6,maintained
SMDV,CEPV,1,1,0,0,3,1,4,1,0,2,7,maintained
SMDV,RIA,9,13,9,20,17,25,34,31,38,29,33,maintained
SMDV,RMDD,0,0,0,1,0,0,0,0,1,4,1,dauer_increased
SMDV,RMEV,0,0,0,0,0,0,0,0,1,2,3,dauer_increased
SMDV,SMDD,2,6,3,6,3,8,15,14,10,12,9,maintained
URAD,BWM01D,3,4,5,8,9,9,12,15,8,5,6,dauer_decreased
URAD,BWM02D,3,3,6,3,8,6,8,10,5,4,4,dauer_decreased
URAD,BWM03D,0,0,0,0,1,0,7,7,0,1,3,maintained
URAD,IL1D,2,1,2,4,2,0,2,7,7,6,1,maintained
URAD,RIP,4,5,5,6,10,9,9,9,2,6,4,dauer_decreased
URAD,RMDD,0,0,0,0,0,0,0,4,3,5,2,maintained
URAD,RMDV,0,0,0,1,0,0,0,0,6,5,5,dauer_increased
URAD,RMED,1,0,2,2,3,3,3,4,11,7,4,dauer_increased
URAD,RMEL/R,4,5,5,3,5,4,4,4,4,5,4,maintained
URAV,BWM01V,3,4,4,8,4,7,11,13,6,10,6,maintained
URAV,BWM02V,3,4,5,9,9,9,16,16,6,9,5,maintained
URAV,BWM03V,0,0,0,0,1,0,2,3,0,1,4,maintained
URAV,BWM04V,0,0,0,0,0,3,4,2,1,1,1,maintained
URAV,IL1L/R,0,0,0,1,1,2,2,1,1,1,0,maintained
URAV,IL1V,0,0,0,0,3,1,3,6,6,4,0,maintained
URAV,RIP,3,5,5,10,8,5,7,5,1,3,3,dauer_decreased
URAV,RMDD,0,0,0,0,0,1,0,0,6,9,2,dauer_increased
URAV,RMDV,0,0,0,0,1,3,0,0,3,4,2,maintained
URAV,RMED,1,2,0,0,0,0,0,0,1,1,1,dauer_increased
URAV,RMEL/R,4,5,3,3,5,5,7,7,6,8,3,maintained
URAV,RMEV,3,2,1,3,5,4,5,5,8,8,4,maintained
URAV,SMDD,0,0,0,0,0,0,0,0,3,2,1,dauer_increased
URB,ADA,0,0,1,1,1,1,7,8,4,5,4,maintained
URB,ADE,0,0,0,0,1,0,1,1,1,1,0,maintained
URB,AIM,0,0,0,0,0,0,0,0,5,5,6,dauer_increased
URB,AVB,0,0,0,0,0,0,6,3,11,9,10,dauer_increased
URB,CEPD,2,2,2,3,4,4,4,4,0,1,1,dauer_decreased
URB,CEPV,0,0,1,1,4,2,4,2,0,0,0,dauer_decreased
URB,IL1L/R,2,5,5,4,4,4,2,4,2,2,0,maintained
URB,IL2L/R,3,2,1,0,2,1,1,0,1,1,1,maintained
URB,OLL,1,0,0,0,0,0,0,2,1,1,1,maintained
URB,RIC,0,1,1,4,4,7,18,8,2,2,4,dauer_decreased
URB,RMDL/R,0,0,0,1,2,2,1,2,12,8,10,dauer_increased
URB,RMEL/R,0,0,0,0,0,0,0,0,3,4,6,dauer_increased
URB,RMG,0,0,0,0,1,0,1,1,0,1,1,maintained
URB,RMH,0,0,0,0,3,3,6,1,2,0,0,maintained
URB,SIAV,0,1,0,0,1,1,1,2,0,0,0,dauer_decreased
URB,URAD,0,0,0,0,0,0,0,0,2,2,1,dauer_increased
URB,URAV,0,0,0,0,0,0,0,0,1,4,5,dauer_increased
URB,URX,4,5,4,8,10,11,19,18,4,1,1,dauer_decreased
URX,AUA,5,4,9,6,28,19,37,30,10,9,7,dauer_decreased
URX,AVE,0,1,0,3,2,3,10,7,3,4,2,maintained
URX,IL2L/R,0,0,0,1,0,1,4,4,0,0,1,maintained
URX,RIA,5,5,12,15,32,25,50,49,19,16,16,dauer_decreased
URX,RIC,2,4,1,4,4,7,11,10,2,0,0,dauer_decreased
URX,RIG,2,4,3,8,7,11,12,19,9,9,14,maintained
URX,RIR,1,0,4,7,6,5,9,14,2,1,4,dauer_decreased
URX,RMG,0,1,0,2,1,2,6,3,3,3,1,maintained
URYD,AVA,0,0,0,0,0,0,0,0,4,3,4,dauer_increased
URYD,AVB,0,0,0,0,0,0,3,3,6,3,4,maintained
URYD,AVD,0,0,0,0,0,0,2,4,5,4,4,maintained
URYD,AVE,7,4,7,5,5,9,15,13,7,2,3,maintained
URYD,BWM01D,0,0,0,0,3,2,2,3,0,0,0,dauer_decreased
URYD,BWM03D,0,0,0,0,1,2,3,4,0,0,0,dauer_decreased
URYD,CEPD,0,0,0,0,2,0,1,3,0,0,0,dauer_decreased
URYD,IL1D,0,1,0,0,2,4,11,11,3,0,1,maintained
URYD,IL2D,0,0,0,0,0,0,0,0,5,1,1,dauer_increased
URYD,RIB,4,4,3,3,5,5,5,6,2,1,4,dauer_decreased
URYD,RMDD,0,3,2,2,9,8,11,13,1,1,2,dauer_decreased
URYD,RMDV,1,3,4,3,5,14,28,32,4,1,4,dauer_decreased
URYD,SMDD,6,7,6,6,12,6,7,11,4,2,5,dauer_decreased
URYV,AVA,0,0,0,0,0,0,0,1,5,3,5,dauer_increased
URYV,AVB,0,0,0,0,0,1,2,6,3,4,6,maintained
URYV,AVD,0,0,0,0,0,0,0,1,3,1,1,maintained
URYV,AVE,6,8,4,7,8,10,11,17,5,6,8,dauer_decreased
URYV,BWM01V,0,0,0,0,1,0,1,2,0,0,0,dauer_decreased
URYV,DVC,0,0,0,0,0,0,0,0,3,1,1,dauer_increased
URYV,IL1V,0,0,0,0,0,6,2,6,5,2,2,maintained
URYV,OLL,0,0,0,0,1,0,1,1,0,0,0,dauer_decreased
URYV,RIA,0,0,0,0,1,0,0,0,1,1,2,maintained
URYV,RIB,2,4,1,5,7,5,9,9,10,6,8,maintained
URYV,RIG,0,0,0,0,0,0,0,0,2,2,3,dauer_increased
URYV,RMDD,5,5,4,6,3,17,17,25,9,6,8,maintained
URYV,RMDV,2,2,2,3,6,6,12,14,3,3,3,dauer_decreased
URYV,SIBV,0,0,0,0,0,1,2,6,1,1,1,maintained
URYV,SMDV,3,7,3,4,8,6,6,10,3,3,4,dauer_decreased
