pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
AIA,AVJ,0,0,0,0,0,0,0,0,1,0,1,Recurrent
AIA,AWA,0,0,0,1,0,0,1,0,1,0,2,Feed-back
AIA,AWB,1,0,0,0,0,0,0,0,0,0,0,Feed-back
AIA,AWC,1,1,7,6,13,8,13,21,8,14,2,Feed-back
AIA,BDU,0,0,0,0,0,0,0,0,0,1,0,Recurrent
AIA,HSN,0,0,0,0,0,0,2,0,0,0,0,Feed-back
AIA,PVQ,0,1,1,0,0,0,0,1,0,0,1,Feed-back
AIA,RIF,2,4,4,2,3,2,3,3,3,3,0,Recurrent
AIA,RIM,0,0,0,0,0,0,0,0,1,1,0,Recurrent
AIA,RIP,0,0,0,0,0,0,0,0,0,1,1,Recurrent
AIA,RIR,0,0,0,0,0,0,0,0,3,1,1,Recurrent
AIA,SMBV,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AIB,ADA,0,0,0,0,0,0,2,0,0,0,3,Recurrent
AIB,ADL,0,0,0,0,0,0,0,1,0,0,0,Feed-back
AIB,AIA,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AIB,AIB,0,0,0,0,0,0,0,2,0,0,1,Recurrent
AIB,AIY,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AIB,AIZ,0,0,0,0,1,0,0,2,7,4,7,Recurrent
AIB,AQR,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AIB,AUA,0,0,0,0,0,0,1,4,0,0,1,Feed-back
AIB,AVA,0,0,0,1,1,0,9,7,3,4,3,Recurrent
AIB,AVB,5,6,8,9,10,13,17,14,9,11,11,Recurrent
AIB,AVD,0,0,0,0,0,0,0,0,1,0,0,Recurrent
AIB,AVE,4,2,1,0,2,0,2,3,6,4,3,Recurrent
AIB,AVK,0,0,0,0,0,0,0,1,3,0,0,Feed-back
AIB,BAG,0,1,0,0,0,1,1,2,1,1,0,Feed-back
AIB,DVA,0,0,0,0,0,1,2,1,0,0,0,Feed-back
AIB,DVC,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AIB,FLP,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AIB,IL2V,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AIB,PVP,0,1,0,0,0,0,0,0,1,0,0,Recurrent
AIB,RIA,0,0,0,0,0,0,1,1,0,0,0,Recurrent
AIB,RIB,5,7,6,10,11,9,15,22,12,8,11,Recurrent
AIB,RID,0,0,0,0,0,0,0,0,2,0,0,Feed-back
AIB,RIG,0,0,1,0,0,0,1,4,3,0,1,Recurrent
AIB,RIM,12,17,19,19,27,31,53,43,24,25,24,Recurrent
AIB,RIS,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIB,RIV,0,0,0,1,0,0,1,1,0,0,1,Feed-forward
AIB,RMED,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AIB,RMEV,0,0,0,1,0,0,0,0,0,0,0,Feed-forward
AIB,RMF,0,0,0,0,0,1,2,4,0,3,0,Feed-forward
AIB,SAAD,1,0,2,2,2,1,8,5,3,1,2,Feed-back
AIB,SAAV,0,0,0,0,0,1,2,4,0,0,4,Feed-back
AIB,SIAD,1,0,0,0,0,2,1,0,1,0,2,Feed-forward
AIB,SIAV,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AIB,SIBD,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AIB,SIBV,0,0,0,0,0,0,1,1,0,0,0,Feed-forward
AIB,SMBD,0,0,0,0,1,0,0,0,2,0,1,Feed-forward
AIB,SMDD,4,6,6,5,8,9,6,11,5,6,8,Feed-forward
AIB,SMDV,2,4,4,6,5,8,18,13,8,6,5,Feed-forward
AIB,URYD,0,0,0,0,0,0,0,0,2,0,0,Feed-back
AIM,ADA,0,0,0,0,0,0,1,2,2,0,1,Feed-forward
AIM,ADF,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AIM,ADL,0,0,0,0,0,0,0,0,0,1,1,Feed-back
AIM,AIA,6,9,9,6,10,12,15,19,10,6,3,Feed-forward
AIM,AIB,0,0,0,0,1,0,0,0,9,5,1,Feed-forward
